Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd]
2018,7,4,11,0,28.05
2018,7,4,12,0,27.91
2018,7,4,13,0,27.86
2018,7,4,14,0,27.74
2018,7,4,15,0,27.44
2018,7,4,16,0,26.05
2018,7,4,17,0,28
2018,7,4,18,0,27.81
2018,7,4,19,0,27.34
2018,7,4,20,0,26.7
2018,7,4,21,0,26.46
2018,7,4,22,0,26.67
2018,7,4,23,0,26.92
